key,result,result2
eth,ethereum,ethereum
sxp,swipe,swipe
cro,crypto-com-chain,crypto-com-chain
joe,joe,joe
cake,pancakeswap-token,pancakeswap-token
bnt,bancor,bancor
snx,havven,havven
quick,quick,quick
perp,perpetual-protocol,perpetual-protocol
sushi,sushi,sushi
aave,aave,aave
link,chainlink,chainlink
cvx,convex-finance,convex-finance
spell,spell-token,spell-token
toke,tokemak,tokemak
rgt,rari-governance-token,rari-governance-token
lrc,loopring,loopring
ygg,yield-guild-games,yield-guild-games
alice,my-neighbor-alice,my-neighbor-alice
gala,gala,gala
ilv,illuvium,illuvium
chz,chiliz,chiliz
enj,enjincoin,enjincoin
mob,mobilecoin,mobilecoin
ray,raydium,raydium
ren,republic-protocol,republic-protocol
