symbol,exchange,currency,sector_lookup
SPY,ARCA,USD,index
QQQ,ARCA,USD,index
GLD,ARCA,USD,precious
SLV,,,precious
IBIT,,,crypto
ETHA,,,crypto
CRCL,,,crypto
COIN,,,crypto
GLXY,,,crypto
SMH,ARCA,,semis
AMD,,,semis
ARM,,,semis
INTC,,,semis
QCOM,,,semis
MRVL,,,semis
AVGO,,,semis
TSM,,,semis
MU,,,Memory
STX,,,Memory
SNDK,,,Memory
WDC,,,Memory
URA,ARCA,,uranium
OKLO,,,uranium
SMR,,,uranium
CCJ,,,uranium
LEU,,,uranium
UUUU,,,uranium
WOLF,,,power_sem
NVTS,,,power_sem
ON,,,power_sem
STM,,,power_sem
GOOG,,,MAG7
AAPL,,,MAG7
TSLA,,,MAG7
NVDA,,,MAG7
MSFT,,,MAG7
META,,,MAG7
AMZN,,,MAG7
GEV,,,grid
BE,,,grid
CRWV,,,neocloud
NBIS,,,neocloud
APLD,,,neocloud
WULF,,,neocloud
IREN,,,neocloud
CORZ,,,neocloud
SMTC,,,optics
TSEM,,,optics
COHR,,,optics
GLW,,,optics
LITE,,,optics
CRDO,,,optics
CIEN,,,optics
NOK,,,optics
CLS,,,datacenter
FIX,,,datacenter
VRT,,,datacenter
PWR,,,datacenter
POWL,,,datacenter
ARKQ,,,robotics
OUST,,,robotics
AEVA,,,robotics
QTUM,ARCA,,quantum
IONQ,,,quantum
QBTS,,,quantum
RGTI,,,quantum
QUBT,,,quantum
INFQ,,,quantum
FEIM,,,quantum
ASTS,,,space
LUNR,,,space
DXYZ,,,space
RKLB,,,space
BABA,,,China
BIDU,,,China
VNET,,,China
REMX,ARCA,,Rare_earth
MTRN,,,Rare_earth
AII,,,Rare_earth
IPX,,,Rare_earth
MP,,,Rare_earth
LIT,,,Mining
COPX,,,Mining
XOP,,,oil_gas
CVX,,,oil_gas
XOP,,,oil_gas
SLB,,,oil_gas
HAL,,,oil_gas
SEI,,,oil_gas
